Id,label
42000,2
42001,0
42002,9
42003,9
42004,3
42005,7
42006,0
42007,3
42008,0
42009,3
42010,5
42011,7
42012,4
42013,0
42014,4
42015,3
42016,3
42017,1
42018,9
42019,0
42020,9
42021,1
42022,1
42023,5
42024,7
42025,4
42026,2
42027,7
42028,4
42029,7
42030,7
42031,5
42032,4
42033,2
42034,6
42035,2
42036,5
42037,5
42038,1
42039,6
42040,7
42041,7
42042,4
42043,9
42044,8
42045,7
42046,8
42047,2
42048,6
42049,7
42050,6
42051,8
42052,8
42053,3
42054,8
42055,2
42056,1
42057,2
42058,2
42059,0
42060,4
42061,1
42062,7
42063,0
42064,0
42065,0
42066,1
42067,9
42068,0
42069,1
42070,6
42071,5
42072,8
42073,8
42074,2
42075,8
42076,3
42077,9
42078,2
42079,3
42080,5
42081,4
42082,1
42083,0
42084,9
42085,2
42086,4
42087,3
42088,6
42089,7
42090,2
42091,0
42092,6
42093,6
42094,1
42095,4
42096,3
42097,9
42098,7
42099,4
42100,0
42101,3
42102,2
42103,0
42104,7
42105,3
42106,0
42107,5
42108,0
42109,9
42110,0
42111,0
42112,4
42113,7
42114,1
42115,7
42116,1
42117,1
42118,3
42119,3
42120,3
42121,7
42122,2
42123,8
42124,6
42125,3
42126,8
42127,7
42128,8
42129,4
42130,3
42131,5
42132,6
42133,0
42134,0
42135,0
42136,3
42137,1
42138,3
42139,0
42140,4
42141,3
42142,4
42143,5
42144,5
42145,8
42146,7
42147,7
42148,2
42149,8
42150,4
42151,3
42152,5
42153,6
42154,5
42155,3
42156,7
42157,9
42158,7
42159,8
42160,3
42161,0
42162,4
42163,5
42164,1
42165,2
42166,7
42167,6
42168,3
42169,0
42170,2
42171,7
42172,9
42173,6
42174,1
42175,3
42176,7
42177,4
42178,1
42179,2
42180,4
42181,8
42182,8
42183,2
42184,4
42185,9
42186,2
42187,1
42188,6
42189,0
42190,6
42191,1
42192,4
42193,9
42194,6
42195,0
42196,9
42197,7
42198,6
42199,9
42200,1
42201,9
42202,0
42203,9
42204,9
42205,0
42206,8
42207,4
42208,6
42209,2
42210,0
42211,9
42212,3
42213,6
42214,7
42215,2
42216,1
42217,6
42218,3
42219,4
42220,2
42221,3
42222,1
42223,2
42224,2
42225,0
42226,4
42227,6
42228,1
42229,0
42230,0
42231,4
42232,9
42233,1
42234,7
42235,3
42236,2
42237,3
42238,8
42239,6
42240,8
42241,6
42242,2
42243,8
42244,5
42245,5
42246,4
42247,8
42248,3
42249,5
42250,9
42251,7
42252,1
42253,3
42254,8
42255,4
42256,5
42257,1
42258,4
42259,3
42260,6
42261,3
42262,3
42263,5
42264,7
42265,0
42266,6
42267,8
42268,6
42269,1
42270,6
42271,0
42272,6
42273,3
42274,9
42275,4
42276,1
42277,5
42278,8
42279,4
42280,0
42281,9
42282,2
42283,0
42284,5
42285,3
42286,7
42287,1
42288,9
42289,9
42290,5
42291,7
42292,7
42293,9
42294,9
42295,6
42296,3
42297,0
42298,3
42299,3
42300,6
42301,9
42302,8
42303,2
42304,6
42305,2
42306,7
42307,1
42308,4
42309,5
42310,8
42311,5
42312,9
42313,0
42314,0
42315,3
42316,8
42317,4
42318,1
42319,8
42320,4
42321,1
42322,1
42323,9
42324,8
42325,4
42326,5
42327,1
42328,5
42329,3
42330,6
42331,3
42332,1
42333,3
42334,0
42335,9
42336,0
42337,0
42338,6
42339,0
42340,6
42341,2
42342,1
42343,8
42344,6
42345,0
42346,6
42347,5
42348,2
42349,2
42350,6
42351,7
42352,7
42353,2
42354,5
42355,8
42356,8
42357,9
42358,2
42359,7
42360,8
42361,6
42362,3
42363,8
42364,4
42365,2
42366,3
42367,8
42368,1
42369,6
42370,4
42371,8
42372,7
42373,9
42374,7
42375,6
42376,9
42377,5
42378,3
42379,7
42380,6
42381,5
42382,5
42383,4
42384,2
42385,6
42386,2
42387,1
42388,3
42389,7
42390,1
42391,7
42392,9
42393,9
42394,6
42395,1
42396,1
42397,1
42398,7
42399,3
42400,9
42401,7
42402,6
42403,1
42404,1
42405,1
42406,9
42407,3
42408,8
42409,5
42410,5
42411,0
42412,4
42413,1
42414,2
42415,3
42416,1
42417,1
42418,3
42419,5
42420,9
42421,6
42422,6
42423,5
42424,3
42425,1
